AGAP000495,,17.86,0.000291103,0.231681144,0.000271456,4,,,
AGAP000515,,27.96,8.31E-05,0.211258541,0.000101576,1,,,
AGAP000535,,2.19,4.33E-08,0.151959583,8.13E-06,9,,,
AGAP000545,,18.33,0.000200685,0.221896648,0.000176359,1,,,
AGAP000555,mal,52.56,0.001271178,0.253571039,0.001717892,5,,,
AGAP000565,TRXR,28.33,0.005896016,0.240219758,7.96E-06,5,,,
AGAP000575,,7.44,3.84E-05,0.197956487,3.53E-05,8,,,
AGAP000585,,10.25,0.000151556,0.213804601,1.58E-05,6,,,
AGAP000605,,39.69,6.84E-06,0.193554019,2.10E-05,9,,,
AGAP000615,,42.43,0.000330829,0.225497881,0.000196537,1,,,
AGAP000625,Vps4,0.72,2.87E-07,0.155381394,0,5,,,
AGAP000635,,79.21,0.000743119,0.218749952,0.000110552,6,,,
AGAP000655,RpS14-1,194.96,0.023160862,0.258585327,8.88E-05,5,core4854,core6920,core7464
AGAP000685,,12.39,0.000317604,0.208575095,4.18E-06,2,,,
AGAP000695,,40.8,0.006133994,0.236696481,4.25E-05,4,,,
AGAP000705,,48.52,0.001104418,0.239624832,0.000278556,1,,,
AGAP000715,,0.69,5.54E-05,0.175689059,0,3,,,
AGAP000725,,11.13,0.000171736,0.221874909,3.84E-06,1,,,
AGAP000735,,24.65,0.000341736,0.228907982,1.99E-05,1,,,
AGAP000745,,33.69,0.004705754,0.224733691,3.73E-05,3,,,
AGAP000755,,3.47,8.09E-06,0.188346698,2.05E-07,1,,,
AGAP000765,,66.97,0.007717101,0.245299885,0.000318882,4,core4854,,
AGAP000795,,122.32,0.008884107,0.241223592,0.000491765,2,,,
AGAP000805,,30.63,0.000847891,0.215613445,1.76E-05,2,,,
AGAP000815,INTB,8.18,0.000112274,0.205781043,3.96E-05,1,,,
AGAP000825,,155.68,0.00736465,0.245455882,0.000114628,4,core4854,,
AGAP000835,,44.94,0.000216854,0.213681335,0.000121602,8,,,
AGAP000855,,30.84,0.000494976,0.226578445,3.20E-05,1,,,
AGAP000865,,11.69,0.00014032,0.205403361,2.93E-05,4,,,
AGAP000885,,3.49,6.56E-06,0.182876019,8.28E-06,14,,,
AGAP000915,,40.68,0.005829909,0.226673494,6.58E-06,3,,,
AGAP000935,,7.93,9.13E-05,0.205334601,6.94E-05,5,,,
AGAP000945,,14.27,0.000852652,0.232983714,0.000552312,2,,,
AGAP000955,,17.69,0.000525383,0.213887938,5.41E-06,6,,,
AGAP000965,,94.16,0.017205004,0.239832543,0.000149535,3,core4854,,
AGAP000975,,2.06,1.14E-05,0.190653473,7.13E-06,12,,,
AGAP000985,,2.09,1.60E-06,0.181265433,8.99E-06,1,,,
AGAP000995,,5.48,0.000129067,0.199663594,5.63E-06,5,,,
AGAP001005,,150.09,0.033786007,0.23809333,0.000227523,3,core4854,core6920,
AGAP001015,,4.07,3.35E-06,0.182636694,0.00013327,12,,,
AGAP001025,,4.76,6.44E-06,0.190823575,0.000177128,12,,,
AGAP001035,,7.37,0.000216841,0.212771397,9.85E-05,2,,,
AGAP001045,,53.46,0.000369318,0.223474066,6.99E-05,1,,,
AGAP001065,,87.6,0.003301333,0.240958799,0.001756637,5,,,
AGAP001085,,3.48,0.000153255,0.186873856,0.000169693,2,,,
AGAP001115,Gr42,65.17,0.007090914,0.228231658,1.06E-05,2,core4854,,
AGAP001125,Gr58,18.81,0.001010108,0.19924381,1.52E-05,2,,,
AGAP001135,,46.26,0.000290859,0.229182195,5.48E-05,8,,,
AGAP001145,,127.28,0.000856219,0.238447335,0.000189156,1,core4854,,
AGAP001165,,18.13,0.000471581,0.202683047,1.85E-06,2,,,
